"n5_v_1" :  : 爽やか (sawayaka) [emotions_sentiments]
"n5_v_470" :  : 終わる (owaru) [descriptions_qualites]
"n5_v_471" :  : 結構 (kekkou) [descriptions_qualites]
"n5_v_472" :  : 綺麗 (kirei) [descriptions_qualites]
"n5_v_473" :  : 緑 (midori) [descriptions_qualites]
"n5_v_474" :  : 美味しい (oishii) [descriptions_qualites]
"n5_v_475" :  : 色 (iro) [descriptions_qualites]
"n5_v_476" :  : 若い (wakai) [descriptions_qualites]
"n5_v_477" :  : 薄い (usui) [descriptions_qualites]
"n5_v_478" :  : 賑やか (nigiyaka) [descriptions_qualites]
"n5_v_479" :  : 赤 (aka) [descriptions_qualites]
"n5_v_480" :  : 赤い (akai) [descriptions_qualites]
"n5_v_481" :  : 辛い (karai) [descriptions_qualites]
"n5_v_482" :  : 速い (hayai) [descriptions_qualites]
"n5_v_483" :  : 遅い (osoi) [descriptions_qualites]
"n5_v_484" :  : 重い (omoi) [descriptions_qualites]
"n5_v_485" :  : 長い (nagai) [descriptions_qualites]
"n5_v_486" :  : 難しい (muzukashii) [descriptions_qualites]
"n5_v_487" :  : 青 (ao) [descriptions_qualites]
"n5_v_488" :  : 青い (aoi) [descriptions_qualites]
"n5_v_489" :  : 静か (shizuka) [descriptions_qualites]
"n5_v_490" :  : 黄色 (kiiro) [descriptions_qualites]
"n5_v_491" :  : 黄色い (kiiroi) [descriptions_qualites]
"n5_v_492" :  : 黒 (kuro) [descriptions_qualites]
"n5_v_493" :  : 黒い (kuroi) [descriptions_qualites]
"n5_v_494" :  : いつも (itsumo) [adverbes_expressions]
"n5_v_495" :  : 大変 (taihen) [adverbes_expressions]
"n5_v_496" :  : ちょうど (choudo) [adverbes_expressions]
"n5_v_497" :  : ちょっと (chotto) [adverbes_expressions]
"n5_v_498" :  : とても (totemo) [adverbes_expressions]
"n5_v_499" :  : どうも (doumo) [adverbes_expressions]
"n5_v_500" :  : また (mata) [adverbes_expressions]
"n5_v_501" :  : まだ (mada) [adverbes_expressions]
"n5_v_502" :  : もう (mou) [adverbes_expressions]
"n5_v_503" :  : もう一度 (mouichido) [adverbes_expressions]
"n5_v_504" :  : ゆっくり (yukkuri) [adverbes_expressions]
"n5_v_505" :  : ゆっくりと (yukkurito) [adverbes_expressions]
"n5_v_506" :  : よく (yoku) [adverbes_expressions]
"n5_v_507" :  : アパート (apaato) [adverbes_expressions]
"n5_v_508" :  : 大変 (taihen) [adverbes_expressions]
"n5_v_509" :  : 少し (sukoshi) [adverbes_expressions]
"n5_v_510" :  : 本当 (hontou) [abstrait]
"n5_v_511" :  : 問題 (mondai) [abstrait]
"n5_v_512" :  : 大丈夫 (daijoubu) [abstrait]
"n5_v_513" :  : 意味 (imi) [abstrait]
"n5_v_514" :  : 本当 (hontou) [abstrait]
"n5_v_515" :  : あまり (amari) [actions_generiques]
"n5_v_516" :  : ある (aru) [actions_generiques]
"n5_v_517" :  : 一番 (ichiban) [actions_generiques]
"n5_v_518" :  : すぐに (suguni) [actions_generiques]
"n5_v_519" :  : たいてい (taitei) [actions_generiques]
"n5_v_520" :  : たくさん (takusan) [actions_generiques]
"n5_v_521" :  : たぶん (tabun) [actions_generiques]
"n5_v_522" :  : 付ける (tsukeru) [actions_generiques]
"n5_v_523" :  : 出来る (dekiru) [actions_generiques]
"n5_v_524" :  : なる (naru) [actions_generiques]
"n5_v_525" :  : まっすぐ (massugu) [actions_generiques]
"n5_v_526" :  : コピーする (kopii suru) [actions_generiques]
"n5_v_527" :  : 上げる (ageru) [actions_generiques]
"n5_v_528" :  : 並ぶ (narabu) [actions_generiques]
"n5_v_529" :  : 並べる (naraberu) [actions_generiques]
"n5_v_530" :  : 会う (au) [actions_generiques]
"n5_v_531" :  : 住む (sumu) [actions_generiques]
"n5_v_532" :  : 作る (tsukuru) [actions_generiques]
"n5_v_533" :  : 借りる (kariru) [actions_generiques]
"n5_v_534" :  : 働く (hataraku) [actions_generiques]
"n5_v_535" :  : 入れる (ireru) [actions_generiques]
"n5_v_536" :  : 出す (dasu) [actions_generiques]
"n5_v_537" :  : 出ます (demasu) [actions_generiques]
"n5_v_538" :  : 分かる (wakaru) [actions_generiques]
"n5_v_539" :  : 切る (kiru) [actions_generiques]
"n5_v_540" :  : 初めて (hajimete) [actions_generiques]
"n5_v_541" :  : 取る (toru) [actions_generiques]
"n5_v_542" :  : 吸う (suu) [actions_generiques]
"n5_v_543" :  : 咲く (saku) [actions_generiques]
"n5_v_544" :  : 困る (komaru) [actions_generiques]
"n5_v_545" :  : 変える (kaeru) [actions_generiques]
"n5_v_546" :  : 大体 (daitai) [actions_generiques]
"n5_v_547" :  : 始まる (hajimaru) [actions_generiques]
"n5_v_548" :  : 居る (iru) [actions_generiques]
"n5_v_549" :  : 履く (haku) [actions_generiques]
"n5_v_550" :  : 帰る (kaeru) [actions_generiques]
"n5_v_551" :  : 座る (suwaru) [actions_generiques]
"n5_v_552" :  : 待つ (matsu) [actions_generiques]
"n5_v_553" :  : 忘れる (wasureru) [actions_generiques]
"n5_v_554" :  : 時々 (tokidoki) [actions_generiques]
"n5_v_555" :  : 曲がる (magaru) [actions_generiques]
"n5_v_556" :  : 書く (kaku) [actions_generiques]
"n5_v_557" :  : 止まる (tomaru) [actions_generiques]
"n5_v_558" :  : 死ぬ (shinu) [actions_generiques]
"n5_v_559" :  : 浴びる (abiru) [actions_generiques]
"n5_v_560" :  : 消える (kieru) [actions_generiques]
"n5_v_561" :  : 消す (kesu) [actions_generiques]
"n5_v_562" :  : 渡す (watasu) [actions_generiques]
"n5_v_563" :  : 渡る (wataru) [actions_generiques]
"n5_v_564" :  : 無くす (nakusu) [actions_generiques]
"n5_v_565" :  : 着く (tsuku) [actions_generiques]
"n5_v_566" :  : 着る (kiru) [actions_generiques]
"n5_v_567" :  : 磨く (migaku) [actions_generiques]
"n5_v_568" :  : 立つ (tatsu) [actions_generiques]
"n5_v_569" :  : 結婚 (kekkon) [actions_generiques]
"n5_v_570" :  : 練習 (renshuu) [actions_generiques]
"n5_v_571" :  : 置く (oku) [actions_generiques]
"n5_v_572" :  : 脱ぐ (nugu) [actions_generiques]
"n5_v_573" :  : 要る (iru) [actions_generiques]
"n5_v_574" :  : 読む (yomu) [actions_generiques]
"n5_v_575" :  : 貸す (kasu) [actions_generiques]
"n5_v_576" :  : 貼る (haru) [actions_generiques]
"n5_v_577" :  : 起きる (okiru) [actions_generiques]
"n5_v_578" :  : 返す (kaesu) [actions_generiques]
"n5_v_579" :  : 閉まる (shimaru) [actions_generiques]
"n5_v_580" :  : 開ける (akeru) [actions_generiques]
"n5_v_581" :  : あなた (anata) [pronoms_demonstratifs]
"n5_v_582" :  : 浴びる (abiru) [actions_generiques]
"n5_v_583" :  : 良い (yoi) [descriptions_qualites]
"n5_v_584" :  : いいえ (iie) [adverbes_expressions]
"n5_v_585" :  : いくつ (ikutsu) [questions]
"n5_v_586" :  : ええ (ee) [adverbes_expressions]
"n5_v_587" :  : 美味しい (oishii) [descriptions_qualites]
"n5_v_588" :  : 面白い (omoshiroi) [descriptions_qualites]
"n5_v_589" :  : お手洗い (otearai) [lieux]
"n5_v_590" :  : お父さん (otousan) [famille_personnes]
"n5_v_591" :  : お姉さん (oneesan) [famille_personnes]
"n5_v_592" :  : お母さん (okaasan) [famille_personnes]
"n5_v_593" :  : しかし (shikashi) [adverbes_expressions]
"n5_v_594" :  : 醤油 (shouyu) [nourriture_boissons]
"n5_v_595" :  : じゃ (ja) [adverbes_expressions]
"n5_v_596" :  : そうして (soushite) [adverbes_expressions]
"n5_v_597" :  : 縦 (tate) [position_direction]
"n5_v_598" :  : 煙草 (tabako) [objets]
"n5_v_599" :  : でも (demo) [adverbes_expressions]
"n5_v_600" :  : どうぞ (douzo) [adverbes_expressions]
"n5_v_601" :  : 無くす (nakusu) [actions_generiques]
"n5_v_602" :  : など (nado) [adverbes_expressions]
"n5_v_603" :  : 箸 (hashi) [nourriture_boissons]
"n5_v_604" :  : 平仮名 (hiragana) [ecole_apprentissage]
"n5_v_605" :  : 他 (hoka) [adverbes_expressions]
"n5_v_606" :  : 皆 (minna) [adverbes_expressions]
"n5_v_607" :  : もっと (motto) [adverbes_expressions]
"n5_v_608" :  : やる (yaru) [actions_generiques]
"n5_v_609" :  : 立派 (rippa) [descriptions_qualites]
"n5_v_610" :  : キロ (kiro) [nombres_quantites]
"n5_v_611" :  : グラム (guramu) [nombres_quantites]
"n5_v_612" :  : シャワー (shawaa) [maison_quotidien]
"n5_v_613" :  : ストーブ (sutoobu) [objets]
"n5_v_614" :  : スリッパ (surippa) [maison_quotidien]
"n5_v_615" :  : セーター (seetaa) [vetements]
"n5_v_616" :  : テープレコーダー (teepurekoodaa) [objets]
"n5_v_617" :  : トイレ (toire) [lieux]
"n5_v_618" :  : ハンカチ (hankachi) [corps_sante]
"n5_v_619" :  : バター (bataa) [nourriture_boissons]
"n5_v_620" :  : パーティー (paatii) [loisirs]
"n5_v_621" :  : プール (puuru) [lieux]
"n5_v_622" :  : ペン (pen) [objets]
"n5_v_623" :  : ページ (peeji) [nombres_quantites]
"n5_v_624" :  : ホテル (hoteru) [lieux]
"n5_v_625" :  : ボールペン (boorupen) [objets]
"n5_v_626" :  : レコード (rekoodo) [objets]
"n5_v_627" :  : 一人 (hitori) [nombres_quantites]
"n5_v_628" :  : 一緒 (issho) [adverbes_expressions]
"n5_v_629" :  : 万年筆 (mannenhitsu) [objets]
"n5_v_630" :  : 下 (shita) [position_direction]
"n5_v_631" :  : 二人 (futari) [nombres_quantites]
"n5_v_632" :  : 二十歳 (hatachi) [nombres_quantites]
"n5_v_633" :  : 人 (hito) [personnes_famille]
"n5_v_634" :  : 休み (yasumi) [temps_calendrier]
"n5_v_635" :  : 休む (yasumu) [actions_generiques]
"n5_v_636" :  : 作文 (sakubun) [ecole_apprentissage]
"n5_v_637" :  : 使う (tsukau) [actions_generiques]
"n5_v_638" :  : 兄弟 (kyoudai) [personnes_famille]
"n5_v_639" :  : 全部 (zenbu) [adverbes_expressions]
"n5_v_640" :  : 八百屋 (yaoya) [lieux]
"n5_v_641" :  : 冷蔵庫 (reizouko) [objets]
"n5_v_642" :  : 出る (deru) [actions_generiques]
"n5_v_643" :  : 切手 (kitte) [ecole_apprentissage]
"n5_v_644" :  : 切符 (kippu) [transports]
"n5_v_645" :  : 初め (hajime) [ecole_apprentissage]
"n5_v_646" :  : 力 (chikara) [abstrait]
"n5_v_647" :  : 勉強 (benkyou) [ecole_apprentissage]
"n5_v_648" :  : 匹 (hiki) [nombres_quantites]
"n5_v_649" :  : 午後 (gogo) [temps_calendrier]
"n5_v_650" :  : 半分 (hanbun) [nombres_quantites]
"n5_v_651" :  : 名前 (namae) [ecole_apprentissage]
"n5_v_652" :  : 地図 (chizu) [ecole_apprentissage]
"n5_v_653" :  : 声 (koe) [abstrait]
"n5_v_654" :  : 多い (ooi) [descriptions_qualites]
"n5_v_655" :  : 大勢 (oozei) [descriptions_qualites]
"n5_v_656" :  : 奥さん (okusan) [personnes_famille]
"n5_v_657" :  : 女 (onna) [personnes_famille]
"n5_v_658" :  : 女の子 (onnanoko) [personnes_famille]
"n5_v_659" :  : 嫌 (iya) [emotions_sentiments]
"n5_v_660" :  : 家内 (kanai) [personnes_famille]
"n5_v_661" :  : 封筒 (fuutou) [ecole_apprentissage]
"n5_v_662" :  : 廊下 (rouka) [lieux]
"n5_v_663" :  : 後 (ato) [temps_calendrier]
"n5_v_664" :  : 所 (tokoro) [abstrait]
"n5_v_665" :  : 持つ (motsu) [actions_generiques]
"n5_v_666" :  : 文章 (bunshou) [ecole_apprentissage]
"n5_v_667" :  : 方 (kata) [personnes_famille]
"n5_v_668" :  : 明い (akarui) [descriptions_qualites]
"n5_v_669" :  : 映画館 (eigakan) [lieux]
"n5_v_670" :  : 昼 (hiru) [temps_calendrier]
"n5_v_671" :  : 時計 (tokei) [objets]
"n5_v_672" :  : 曲る (magaru) [actions_generiques]
"n5_v_673" :  : 服 (fuku) [vetements]
"n5_v_674" :  : 橋 (hashi) [lieux]
"n5_v_675" :  : 次 (tsugi) [position_direction]
"n5_v_676" :  : 歌 (uta) [loisirs]
"n5_v_677" :  : 水 (mizu) [nourriture_boissons]
"n5_v_678" :  : 池 (ike) [nature_animaux]
"n5_v_679" :  : 洋服 (youfuku) [vetements]
"n5_v_680" :  : 洗濯 (sentaku) [maison_quotidien]
"n5_v_681" :  : 温い (nurui) [descriptions_qualites]
"n5_v_682" :  : 漢字 (kanji) [ecole_apprentissage]
"n5_v_683" :  : 灰皿 (haizara) [objets]
"n5_v_684" :  : 物 (mono) [abstrait]
"n5_v_685" :  : 生活 (seikatsu) [abstrait]
"n5_v_686" :  : 男 (otoko) [personnes_famille]
"n5_v_687" :  : 皆さん (minasan) [adverbes_expressions]
"n5_v_688" :  : 私 (watashi) [pronoms_demonstratifs]
"n5_v_689" :  : 絵 (e) [loisirs]
"n5_v_690" :  : 背 (se) [corps_sante]
"n5_v_691" :  : 自分 (jibun) [pronoms_demonstratifs]
"n5_v_692" :  : 花瓶 (kabin) [objets]
"n5_v_693" :  : 茶色 (chairo) [descriptions_qualites]
"n5_v_694" :  : 荷物 (nimotsu) [objets]
"n5_v_695" :  : 葉書 (hagaki) [ecole_apprentissage]
"n5_v_696" :  : 表 (omote) [position_direction]
"n5_v_697" :  : 見せる (miseru) [actions_generiques]
"n5_v_698" :  : 見る (miru) [actions_generiques]
"n5_v_699" :  : 話 (hanashi) [ecole_apprentissage]
"n5_v_700" :  : 誰か (dareka) [pronoms_demonstratifs]
"n5_v_701" :  : 買い物 (kaimono) [achats_argent]
"n5_v_702" :  : 質問 (shitsumon) [ecole_apprentissage]
"n5_v_703" :  : 辺 (hen) [abstrait]
"n5_v_704" :  : 近く (chikaku) [position_direction]
"n5_v_705" :  : 道 (michi) [lieux]
"n5_v_706" :  : 醤油 (shouyu) [nourriture_boissons]
"n5_v_707" :  : 釣り (tsuri) [loisirs]
"n5_v_708" :  : 門 (mon) [lieux]
"n5_v_709" :  : 閉める (shimeru) [actions_generiques]
"n5_v_710" :  : 開く (aku) [actions_generiques]
"n5_v_711" :  : 階段 (kaidan) [lieux]
"n5_v_712" :  : 雑誌 (zasshi) [loisirs]
"n5_v_713" :  : 電気 (denki) [maison_quotidien]
"n5_v_714" :  : 靴 (kutsu) [vetements]
"n5_v_715" :  : 靴下 (kutsushita) [vetements]
"n5_v_716" :  : 顔 (kao) [corps_sante]
"n5_v_717" :  : 髪 (kami) [corps_sante]
