N5 Rencontrer : 会う , あう, (Au)
N5 Hiragana : ひらがな , ひらがな, (Hiragana)
N5 Midi : 昼 , ひる, (Hiru)
N5 Repas du midi : 昼ご飯 , ひるごはん, (Hirugohan)
N5 Spacieux : 広い , ひろい, (Hiroi)
N5 Film (photo/cinéma) : フィルム , フィルム, (Firumu)
N5 Enveloppe : 封筒 , ふうとう, (Fuutou)
N5 Piscine : プール , プール, (Puuru)
N5 Deux jours (durée) : 二日 , ふつか, (Futsuka)
N5 Fourchette : フォーク , フォーク, (Fooku)
N5 Souffler : 吹く , ふく, (Fuku)
N5 Vêtements : 服 , ふく, (Fuku)
N5 Deux (objets) : 二つ , ふたつ, (Futatsu)
N5 Viande de porc : 豚肉 , ぶたにく, (Butaniku)
N5 Deux personnes : 二人 , ふたり, (Futari)
N5 Gros : 太い , ふとい, (Futoi)
N5 Hiver : 冬 , ふゆ, (Fuyu)
N5 Tomber (pluie, neige) : 降る , ふる, (Furu)
N5 Vieux : 古い , ふるい, (Furui)
N5 Phrase : 文章 , ぶんしょう, (Bunshou)
N5 Page : ページ , ページ, (Peeji)
N5 Maladroit : 下手 , へた, (Heta)
N5 Lit : ベッド , ベッド, (Beddo)
N5 Chambre : 部屋 , へや, (Heya)
N5 Région : 辺 , へん, (Hen)
N5 Stylo : ペン , ペン, (Pen)
N5 Étude : 勉強 , べんきょう, (Benkyou)
N5 Pratique : 便利 , べんり, (Benri)
N5 Chapeau : 帽子 , ぼうし, (Boushi)
N5 Stylo à bille : ボールペン , ボールペン, (Boorupen)
N5 Autre : ほか , ほか, (Hoka)
N5 Poche : ポケット , ポケット, (Poketto)
N5 Vouloir : 欲しい , ほしい, (Hoshii)
N5 Boîte aux lettres : ポスト , ポスト, (Posuto)
N5 Mince : 細い , ほそい, (Hosoi)
N5 Bouton : ボタン , ボタン, (Botan)
N5 Hôtel : ホテル , ホテル, (Hoteru)
N5 Livre : 本 , ほん, (Hon)
N5 Bibliothèque (meuble) : 本棚 , ほんだな, (Hondana)
N5 Vérité : 本当 , ほんとう, (Hontou)
N5 Chaque matin : 毎朝 , まいあさ, (Maiasa)
N5 Chaque mois : 毎月 , まいつき / まいげつ, (Maitsuki / maigetsu)
N5 Chaque semaine : 毎週 , まいしゅう, (Maishuu)
N5 Chaque jour : 毎日 , まいにち, (Mainichi)
N5 Chaque année : 毎年 , まいとし / まいねん, (Maitoshi / mainen)
N5 Chaque soir : 毎晩 , まいばん, (Maiban)
N5 Devant : 前 , まえ, (Mae)
N5 Tourner : 曲がる , まがる, (Magaru)
N5 Mauvais (goût) : まずい , まずい, (Mazui)
N5 À nouveau : また , また, (Mata)
N5 Encore : まだ , まだ, (Mada)
N5 Ville : 町 , まち, (Machi)
N5 Attendre : 待つ , まつ, (Matsu)
N5 Tout droit : まっすぐ , まっすぐ, (Massugu)
N5 Allumette : マッチ , マッチ, (Macchi)
N5 Fenêtre : 窓 , まど, (Mado)
N5 Rond : 丸い , まるい, (Marui)
N5 Dix mille (10 000) : 万 , まん, (Man)
N5 Stylo-plume : 万年筆 , まんねんひつ, (Mannenhitsu)
N5 Brosser : 磨く , みがく, (Migaku)
N5 Droite : 右 , みぎ, (Migi)
N5 Bleu : 青 , あお, (Ao)
N5 Rouge : 赤 , あか, (Aka)
N5 Lumineux : 明い , あかるい, (Akarui)
N5 S'ouvrir : 開く , あく, (Aku)
N5 Petit-déjeuner : 朝御飯 , あさごはん, (Asagohan)
N5 Là-bas : あそこ , あそこ, (Asoko)
N5 Par là : あっち , あっち, (Achi)
N5 Ce/cette... là-bas : あの , あの, (Ano)
N5 Se doucher : あびる , あびる, (Abiru)
N5 Cela (là-bas) : あれ , あれ, (Are)
N5 Bien / Bon : いい , いい, (Ii)
N5 Comment (poli) : いかが , いかが, (Ikaga)
N5 Cinq (objets) : 五つ , いつつ, (Itsutsu)
N5 Toujours : いつも , いつも, (Itsumo)
N5 Désagréable : 嫌 , いや, (Iya)
N5 Délicieux : おいしい , おいしい, (Oishii)
N5 Nombreux : 多い , おおい, (Ooi)
N5 Ventre : おなか , おなか, (Onaka)
N5 Intéressant : おもしろい , おもしろい, (Omoshiroi)
N5 Clé : かぎ , かぎ, (Kagi)
N5 Téléphoner : かける , かける, (Kakeru)
N5 Sac : かばん , かばん, (Kaban)
N5 Mignon : かわいい , かわいい, (Kawaii)
N5 Jaune : 黄色 , きいろ, (Kiiro)
N5 Détester : 嫌い , きらい, (Kirai)
N5 Nuageux : くもり , くもり, (Kumori)
N5 Venir : 来る , くる, (Kuru)
N5 Noir : 黒 , くろ, (Kuro)
N5 Cinq : 五 , ご, (Go)
N5 Par ici : こっち , こっち, (Kochi)
N5 Dans deux ans : さ来年 , さらいねん, (Sarainen)
N5 Se promener : 散歩 , さんぽする, (Sanposuru)
N5 Cependant : しかし , しかし, (Shikashi)
N5 Sept : 七 , しち, (Shichi)
N5 Fermer : 閉める , しめる, (Shimeru)
N5 Alors / Bon : じゃ , じゃ, (Ja)
N5 Sauce soja : しょうゆ , しょうゆ, (Shouyu)
N5 Blanc : 白 , しろ, (Shiro)
N5 Savon : せっけん , せっけん, (Sekken)
N5 Zéro : ゼロ , ゼロ, (ゼロ)
N5 Tout : 全部 , ぜんぶ, (Zenbu)
N5 Nettoyer : 掃除 , そうじする, (Soujisuru)
N5 Par là : そっち , そっち, (Sochi)
N5 Université : 大学 , だいがく, (Daigaku)
N5 Très / Grave : たいへん , たいへん, (Taihen)
N5 Hauteur : たて , たて, (Tate)
N5 Carte (plan) : 地図 , ちず, (Chizu)
N5 Marron : 茶色 , ちゃいろ, (Chairo)
N5 Bol à riz : ちゃわん , ちゃわん, (Chawan)
N5 Exactement : ちょうど , ちょうど, (Choudo)
N5 Un peu : ちょっと , ちょっと, (Chotto)
N5 Utiliser : 使う , つかう, (Tsukau)
N5 Se fatiguer : 疲れる , つかれる, (Tsukareru)
N5 Suivant : 次 , つぎ, (Tsugi)
N5 Sortir : 出る , でる, (Deru)
N5 Perdre : なくす , なくす, (Nakusu)
N5 Etc. : など , など, (Nado)
N5 Tiède : 温い , ぬるい, (Nurui)
N5 Mettre (pantalon) : はく , はく, (Haku)
N5 Baguettes : はし , はし, (Hashi)
N5 Huit : 八 , はち, (Hachi)
N5 Dîner : ばんごはん , ばんごはん, (Bangohan)
N5 Cent : 百 , ひゃく, (Hyaku)
N5 Déjeuner : ひるごはん , ひるごはん, (Hirugohan)
N5 Bain : ふろ , ふろ, (Furo)
N5 Animal de compagnie : ペット , ペット, (ペット)
N5 Vérité : ほんとう , ほんとう, (Hontou)
N5 Tourner : 曲る , まがる, (Magaru)
N5 Court : 短い , みじかい, (Mijikai)
N5 Eau : 水 , みず, (Mizu)
N5 Magasin : 店 , みせ, (Mise)
N5 Montrer : 見せる , みせる, (Miseru)
N5 Rue : 道 , みち, (Michi)
N5 Le 3 (du mois) : 三日 , みっか, (Mikka)
N5 Trois (objets) : 三つ , みっつ, (Mittsu)
N5 Vert : 緑 , みどり, (Midori)
N5 Tout le monde : 皆さん , みなさん, (Minasan)
N5 Sud : 南 , みなみ, (Minami)
N5 Oreille : 耳 , みみ, (Mimi)
N5 Voir / Regarder : 見る , みる, (Miru)
N5 Tout le monde : みんな , みんな, (Minna)
N5 Là-bas (en face) : 向こう , むこう, (Mukou)
N5 Difficile : 難しい , むずかしい, (Muzukashii)
N5 Six (objets) : 六つ , むっつ, (Muttsu)
N5 Village : 村 , むら, (Mura)
N5 Œil : 目 , め, (Me)
N5 Mètre : メートル , メートル, (メートル)
N5 Lunettes : 眼鏡 , めがね, (Megane)
N5 Déjà : もう , もう, (Mou)
N5 Encore une fois : もう一度 , もういちど, (Mouichido)
N5 Jeudi : 木曜日 , もくようび, (Mokuyoubi)
N5 Tenir : 持つ , もつ, (Motsu)
N5 Plus : もっと , もっと, (Motto)
N5 Chose : 物 , もの, (Mono)
N5 Portail : 門 , もん, (Mon)
N5 Problème : 問題 , もんだい, (Mondai)
N5 Marchand de légumes : 八百屋 , やおや, (Yaoya)
N5 Légume : 野菜 , やさい, (Yasai)
N5 Facile : 易しい , やさしい, (Yasashii)
N5 Bon marché : 安い , やすい, (Yasui)
N5 Repos / Vacances : 休み , やすみ, (Yasumi)
N5 Se reposer : 休む , やすむ, (Yasumu)
N5 Huit (objets) : 八つ , やっつ, (Yattsu)
N5 Montagne : 山 , やま, (Yama)
N5 Faire : やる , やる, (Yaru)
N5 Lentement : ゆっくりと , ゆっくりと, (Yukkurito)
N5 Quatre (objets) : 四つ , よっつ, (Yottsu)
N5 Magnifique : りっぱ , りっぱ, (Rippa)
